trader,total_volume,total_score,top_percentile,trade_count,wallet_rank,label
0x74471a007ddcc488f6d57b5e86dfb35a8d48a16d,1156383.2524849998,3236.11016424362,103.4236230566807,398,499,
0x0a854897a06d4999e5b2dde5693609f1428ffe9d,1132377.1756499999,2765.279034072418,104.99396755440273,268,423,
0xea7957606f259bcba522a4681494555547a7a9cc,1120155.134836,4392.493834997741,85.54372718407512,455,1262,
0x7a146c5e70c092d06be27097a5c770b49d0bd748,1118808.966149,3544.728819703291,89.6760126117641,526,1143,
0x848921be10e51b1547d50548a54b38a1778ec184,1097207.239566,3398.1714550706547,100.76231884057971,89,759,
0x69aa9fa621403e3a121b29ad77d32ba9eb5e8847,1096966.72047,1508.0472609526194,105.87208216095985,94,388,
0x3ab5ad27c676c4be1218397912eab5396e6de56f,1071479.9511619997,4977.902153709159,67.75088133541983,562,2390,
0xa81eefec9c08fa157d855f1ac5caf8feab1903dc,1042977.221512,7432.275251136868,104.45921694827378,652,441,
0x00425c692a667981118f679ef68fdc775257321e,1037626.9225389999,2367.6954557625477,93.77435010858383,398,1003,
0xb6fa57039ea79185895500dbd0067c288594abcf,1035119.4402479999,12367.880292384887,15.945713863933262,9281,29442,
0x5cd5c8d7a17c78d7389d8b87b611aed83322ac33,1032660.7613639999,4823.4867532772405,25.131084322523968,1599,26249,
0x7d3a81f7c2490d7eecb74893e69a36c0b4d8d8b8,1021464.3586040001,2505.2253069947756,102.04584428407551,200,600,
0xacbfc174623468d03d8ae7d50da1b71b0a410c9a,1010996.1199060002,2292.871662075755,67.0400688608041,416,2426,
0x71587aff3d063868a086574dcf9a86ab153a5439,1003678.51395,491.46793583377814,126.46879861023108,108,95,
0xf2436c4c52d99174d3f3bc999772ae61109558d2,999926.22974,250,125,2,142,
0x17559efac103ac7f361be37ec0b93888d4c55aac,986316.3790090003,13057.936117185067,52.656186342328844,3410,4125,
0xa8c63f775ddbbe66b56614191747def3021444e8,972416.1995650001,3543.5049295402355,45.49409026437052,692,6550,
0x3dd2db2d398ff72c2c71c9ad6473368b941e9ab1,952235.3926700001,8247.379902449475,5.865377011038813,9770,35608,
0x12da0ec25d8fb1b1f4670c4a4025e10c1e9be023,950987.9063,102.10253102205574,102.10253102205574,1,597,
0x423c1fec3067c0d8041ecdd244a5b120d24f90d6,944859.1318,0,0,36,47414,
0x72e4daa9b93fd3786f231c3b73c1bdbc4c48740a,944061.0764499999,2674.9232487258105,125.49163375041158,79,122,
0xf5d92058c977a9c957c6cbfbe3e9a27c83a9be50,943910.6401100002,2086.8514980615637,100.88471847439352,80,743,
0x1604b15af9eab550175b268dd574a155c5ebff0e,940814.261196,2979.57516394703,105.19887392965336,280,413,
0x06dcaa14f57d8a0573f5dc5940565e6de667af59,940811.1175400002,5555.055336649767,52.386914222675145,1281,4209,
0xcf19c420814435ffb1c459588208ed23a7ee6402,938912.596906,2416.374154166188,88.4240004713385,294,1180,
0xddd84bc075d5ebe2b4035fe9355acf9af40b4471,935056.58344,2489.731748897265,105.90435941418478,139,387,
0x784feec38475dc47e63c3a16cbd24b905dab5df9,933755.2429000001,3494.5345979909534,51.57292139011839,605,4513,
0xeca0c0888e34df59589c67fbe53dc7f298b5e8f8,908761.0160280002,2211.3412476614585,18.4890478830024,1365,28788,
0xe3726a1b9c6ba2f06585d1c9e01d00afaedaeb38,882846.9578500002,107924.13505513451,39.303190219848915,36396,8230,
0xbdd2bbcbf179cf9b0062b747fbc17755b9b00bd8,882443.2014439999,2710.1405345685703,81.94359080524934,334,1407,
0xb51b3beffd13cde071ed799e70a7b0b598e8b4d9,881419.619749,4144.378052047972,17.60488628077241,1992,29012,
0x2d99e29c4f066ba32098c65e4c7454b277d94ca3,868110.64536,1840.7839258024208,103.54704559644475,132,494,
0xab4f7829405390bf6bf7c7af74159bfc8842552f,863353.159233,1741.415577646728,20.387047466361686,1031,28382,
0x71edffd0d70a1da823ff07a3c6fc81457294d338,860646.1701860001,2208.115171729714,118.19647715194169,127,179,
0x25257a6a89dba93dd0c536b6279365632a4eb919,845844.238041,4083.0059132001875,50.01793819477154,1086,5769,
0x54b56146656e7eef9da02b3a030c18e06e924b31,840633.3843519998,2947.7670850076292,27.32609399611439,1091,18813,
0xdd5cc0a31573fc60a279577b80f00f27a32f0c2a,839237.2485,3147.4082710961134,103.71745591891522,191,486,
0x088ffbbc6f2c0b3839d2832e75f37e1bcecbc9e7,833654.4568200001,2679.0018988765783,84.85911747602836,347,1283,
0x7ab480c23d8a0d5a6e95c2b10a5b82bf55aa716b,825420.671505,1703.730740595045,101.4775536397463,40,668,
0xbc43a2f0deb85ba4ad316300762972089c911540,821473.468353,2949.153097658341,102.30691787676638,141,577,
0x7177a7f5c216809c577c50c77b12aae81f81ddef,819594.06483,3589.7444188833674,101.9787813086226,164,608,
